Grades Report for 202001,,,,,,,,,,,,,,,,,
Course,Numbe,Section,Course Title,A,B,C,D,F,P,F(P),W,I,SCP,SCN,SCD,Instructor,Honor
,,,,,,,,,,,,,,,,Theresa,
AL,8640,401,Ethical Iss in Collegiate Ath,75%,20%,0%,0%,0%,0%,0%,5%,0%,0%,0%,0%,Magette Janna,
,,,,,,,,,,,,,,,,Theresa,
AL,8640,402,Ethical Iss in Collegiate Ath,76%,10%,5%,0%,0%,0%,0%,5%,0%,5%,0%,0%,Magette Janna,
,,,,,,,,,,,,,,,,Theresa,
AL,8700,401,Intercoll Athletics Finance,67%,25%,8%,0%,0%,0%,0%,0%,0%,0%,0%,0%,Soles Misty B,
Course Sections that meet the following conditions are not included: Undergraduate classes with less than 10 students or Graduate classes with less than 5,,,,,,,,,,,,,,,,,
students.,"In addition, if a section has all but 1 student making a common grade (example: All but one student makes a ""B"" in a class), the section is excluded.",,,,,,,,,,,,,,,,
"Monday, September 21, 2020",,,,,,,,,,,,,,,,Page 7 of 133,
Grades Report for 202001,,,,,,,,,,,,,,,,,
Course,Numbe,Section,Course Title,A,B,C,D,F,P,F(P),W,I,SCP,SCN,SCD,Instructor,Honor
ANTH,2010,1,Introduction to Anthropol,64%,26%,1%,0%,1%,0%,0%,2%,0%,4%,1%,1%,Markus David M,
ANTH,2010,2,Introduction to Anthropol,60%,31%,0%,0%,1%,0%,0%,0%,0%,6%,2%,0%,Markus David M,
ANTH,2010,3,Introduction to Anthropol,44%,31%,2%,0%,0%,0%,0%,3%,0%,11%,3%,5%,Rapaport Lisa G,
ANTH,2010,4,Introduction to Anthropol,60%,28%,3%,0%,0%,0%,0%,0%,0%,9%,0%,0%,Markus David M,
ANTH,2050,1,Professional Development,77%,15%,0%,0%,0%,0%,0%,0%,0%,8%,0%,0%,Weisensee Katherine,
,,,,,,,,,,,,,,,,E,
ANTH,3010,1,Cultural Anthropology,7%,21%,11%,0%,0%,0%,0%,21%,0%,25%,7%,7%,Coggeshall John M,
ANTH,3310,1,Archaeology,43%,33%,3%,0%,0%,0%,0%,3%,0%,17%,0%,0%,Markus David M,
ANTH,4660,1,Evolution of Human Behav,29%,43%,7%,0%,7%,0%,0%,0%,7%,0%,7%,0%,Rapaport Lisa G,
ANTH,4800,1,Business Anthropology,70%,20%,0%,0%,0%,0%,0%,0%,0%,10%,0%,0%,Fisher Melissa,
,,,,,,,,,,,,,,,,Suzanne,
ANTH,4990,1,Underwater Archaeology,58%,8%,8%,0%,0%,0%,0%,8%,0%,8%,8%,0%,Markus David M,
ARCH,1510,1,Arch Communication,53%,20%,13%,0%,0%,0%,0%,13%,0%,0%,0%,0%,Mendez Clarissa A,
ARCH,1510,2,Arch Communication,50%,36%,0%,0%,0%,0%,0%,7%,0%,7%,0%,0%,Silance Robert T,
ARCH,1510,3,Arch Communication,43%,50%,0%,0%,0%,0%,0%,0%,0%,0%,0%,7%,Terim Berrin,
ARCH,1510,4,Arch Communication,57%,36%,0%,0%,0%,0%,0%,7%,0%,0%,0%,0%,Choma Joseph,
ARCH,1510,5,Arch Communication,50%,36%,0%,0%,0%,0%,0%,0%,0%,7%,0%,7%,Melnyk Virginia Ellyn,
ARCH,1510,6,Arch Communication,50%,29%,14%,0%,0%,0%,0%,0%,0%,7%,0%,0%,Pass Brandon George,
ARCH,2520,2,Arch Foundations II,50%,36%,7%,0%,0%,0%,0%,0%,0%,7%,0%,0%,Mendez Clarissa A,
ARCH,2520,3,Arch Foundations II,21%,43%,7%,0%,0%,0%,0%,0%,0%,29%,0%,0%,Lee David M,
ARCH,2520,4,Arch Foundations II,57%,43%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,Pass Brandon George,
